correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
0;1;;;;8-8;;differenze;
1;1;;;;2-1;;differenze;
1;1;;;;7-6;;differenze;
1;1;;;;7-6;;differenze;
2;1;;;;10-8;;differenze;
2;1;;;;2-0;;differenze;
2;1;;;;5-3;;differenze;
2;1;;;;6-4;;differenze;
2;1;;;;7-5;;differenze;
2;1;;;;8-6;;differenze;
4;1;;;;4-0;;differenze;
4;1;;;;7-3;;differenze;
4;1;;;;9-5;;differenze;
5;1;;;;5-0;;differenze;
6;1;;;;6-0;;differenze;
6;1;;;;9-3;;differenze;
7;1;;;;10-3;;differenze;
9;1;;;;10-1;;differenze;
9;1;;;;11-2;;differenze;
2;1;;;;0+2;;somme;
2;1;;;;1+1;;somme;
2;1;;;;2+0;;somme;
3;1;;;;3+0;;somme;
5;1;;;;2+3;;somme;
5;1;;;;4+1;;somme;
6;1;;;;0+6;;somme;
6;1;;;;2+4;;somme;
6;1;;;;3+3;;somme;
6;1;;;;4+2;;somme;
7;1;;;;2+5;;somme;
8;1;;;;1+7;;somme;
8;1;;;;7+1;;somme;
9;1;;;;2+7;;somme;
10;1;;;;2+8;;somme;
10;1;;;;2+8;;somme;
10;1;;;;7+3;;somme;
10;1;;;;9+1;;somme;
11;1;;;;8+3;;somme;
13;1;;;;5+8;;somme;
13;1;;;;6+7;;somme;
13;1;;;;8+5;;somme;
14;1;;;;5+9;;somme;
14;1;;;;6+8;;somme;
15;1;;;;6+9;;somme;
15;1;;;;6+9;;somme;
15;1;;;;7+8;;somme;
15;1;;;;9+6;;somme;
16;1;;;;9+7;;somme;
18;1;;;;9+9;;somme;
5;2;;;;12-7;;differenze;
6;2;;;;15-9;;differenze;
7;2;;;;11-4;;differenze;
7;2;;;;12-5;;differenze;
8;2;;;;10-2;;differenze;
9;2;;;;14-5;;differenze;
9;2;;;;19-10;;differenze;
10;2;;;;11-1;;differenze;
10;2;;;;12-2;;differenze;
11;2;;;;20-9;;differenze;
12;2;;;;12-0;;differenze;
12;2;;;;20-8;;differenze;
13;2;;;;14-1;;differenze;
13;2;;;;17-4;;differenze;
14;2;;;;20-6;;differenze;
15;2;;;;19-4;;differenze;
16;2;;;;18-2;;differenze;
17;2;;;;17-0;;differenze;
0;2;;;;"11 + ___ = 11";;num_nascosto;
0;2;;;;"15 - ___ = 15";;num_nascosto;
0;2;;;;"16 + ___ = 16";;num_nascosto;
0;2;;;;"18 + ___ = 18";;num_nascosto;
0;2;;;;"19 - ___ = 19";;num_nascosto;
1;2;;;;"10 - ___ = 9";;num_nascosto;
2;2;;;;"10 - ___ = 8";;num_nascosto;
4;2;;;;"13 - ___ = 9";;num_nascosto;
4;2;;;;"15 + ___ = 19";;num_nascosto;
5;2;;;;"7 + ___ = 12";;num_nascosto;
5;2;;;;"9 + ___ = 14";;num_nascosto;
7;2;;;;"10 - ___ = 3";;num_nascosto;
7;2;;;;"11 - ___ = 4";;num_nascosto;
8;2;;;;"18 - ___ = 10";;num_nascosto;
8;2;;;;"5 + ___ = 13";;num_nascosto;
9;2;;;;"11 - ___ = 2";;num_nascosto;
9;2;;;;"11 + ___ = 20";;num_nascosto;
9;2;;;;"13 - ___ = 4";;num_nascosto;
10;2;;;;"1 + ___ = 11";;num_nascosto;
10;2;;;;"13 - ___ = 3";;num_nascosto;
10;2;;;;"18 - ___ = 8";;num_nascosto;
11;2;;;;"1 + ___ = 12";;num_nascosto;
11;2;;;;"12 - ___ = 1";;num_nascosto;
11;2;;;;"12 - ___ = 1";;num_nascosto;
11;2;;;;"3 + ___ = 14";;num_nascosto;
11;2;;;;"4 + ___ = 15";;num_nascosto;
11;2;;;;"6 + ___ = 17";;num_nascosto;
11;2;;;;"8 + ___ = 19";;num_nascosto;
12;2;;;;"19 - ___ = 7";;num_nascosto;
13;2;;;;"17 - ___ = 4";;num_nascosto;
13;2;;;;"17 - ___ = 4";;num_nascosto;
13;2;;;;"2 + ___ = 15";;num_nascosto;
13;2;;;;"5 + ___ = 18";;num_nascosto;
15;2;;;;"17 - ___ = 2";;num_nascosto;
16;2;;;;"16 - ___ = 0";;num_nascosto;
17;2;;;;"1 + ___ = 18";;num_nascosto;
18;2;;;;"0 + ___ = 18";;num_nascosto;
19;2;;;;"1 + ___ = 20";;num_nascosto;
20;2;;;;"0 + ___ = 20";;num_nascosto;
20;2;;;;"20 - ___ = 0";;num_nascosto;
12;2;;;;1+11;;somme;
12;2;;;;12+0;;somme;
13;2;;;;0+13;;somme;
13;2;;;;1+12;;somme;
13;2;;;;2+11;;somme;
14;2;;;;14+0;;somme;
14;2;;;;2+12;;somme;
15;2;;;;12+3;;somme;
16;2;;;;12+4;;somme;
16;2;;;;2+14;;somme;
16;2;;;;6+10;;somme;
17;2;;;;3+14;;somme;
17;2;;;;5+12;;somme;
18;2;;;;17+1;;somme;
19;2;;;;10+9;;somme;
19;2;;;;12+7;;somme;
19;2;;;;2+17;;somme;
19;2;;;;3+16;;somme;
20;2;;;;15+5;;somme;
20;2;;;;17+3;;somme;
20;2;;;;19+1;;somme;
21;2;;;;18+3;;somme;
23;2;;;;5+18;;somme;
23;2;;;;7+16;;somme;
24;2;;;;16+8;;somme;
24;2;;;;9+15;;somme;
25;2;;;;16+9;;somme;
25;2;;;;6+19;;somme;
25;2;;;;8+17;;somme;
26;2;;;;19+7;;somme;
0;3;;;;11-11;;differenze;
0;3;;;;16-16;;differenze;
0;3;;;;17-17;;differenze;
1;3;;;;12-11;;differenze;
1;3;;;;14-13;;differenze;
1;3;;;;15-14;;differenze;
1;3;;;;17-16;;differenze;
2;3;;;;12-10;;differenze;
2;3;;;;20-18;;differenze;
3;3;;;;17-14;;differenze;
3;3;;;;20-17;;differenze;
5;3;;;;19-14;;differenze;
5;3;;;;20-15;;differenze;
6;3;;;;20-14;;differenze;
7;3;;;;17-10;;differenze;
7;3;;;;19-12;;differenze;
7;3;;;;20-13;;differenze;
8;3;;;;20-12;;differenze;
20;3;;;;10+10;;somme;
21;3;;;;10+11;;somme;
21;3;;;;11+10;;somme;
