question;correct_answer
46 - 21;25
12 - 10;2
44 - 16;28
28 - 10;18
37 - 17;20
18 - 15;3
49 - 40;9
21 - 17;4
47 - 31;16
50 - 46;4
22 - 18;4
27 - 12;15
40 - 15;25
20 - 14;6
37 - 13;24
45 - 24;21
42 - 16;26
47 - 32;15
47 - 38;9
41 - 16;25
46 - 13;33
15 - 14;1
38 - 16;22
30 - 20;10
41 - 35;6
43 - 23;20
38 - 18;20
44 - 31;13
35 - 19;16
48 - 15;33
43 - 14;29
18 - 17;1
42 - 30;12
26 - 11;15
47 - 26;21
39 - 17;22
49 - 27;22
30 - 27;3
32 - 25;7
32 - 10;22
45 - 34;11
33 - 11;22
47 - 36;11
28 - 27;1
50 - 36;14
20 - 14;6
32 - 10;22
26 - 20;6
37 - 10;27
48 - 17;31
39 - 33;6
50 - 31;19
50 - 18;32
26 - 17;9
42 - 23;19
35 - 15;20
29 - 16;13
41 - 38;3
23 - 14;9
32 - 31;1
49 - 37;12
41 - 31;10
31 - 29;2
13 - 12;1
43 - 41;2
48 - 20;28
23 - 21;2
24 - 17;7
49 - 20;29
26 - 23;3
16 - 10;6
37 - 32;5
41 - 35;6
43 - 22;21
24 - 19;5
43 - 33;10
28 - 22;6
40 - 22;18
48 - 24;24
41 - 35;6
21 - 10;11
44 - 20;24
45 - 22;23
41 - 32;9
31 - 12;19
30 - 25;5
30 - 15;15
36 - 10;26
50 - 22;28
15 - 15;0
20 - 19;1
47 - 44;3
25 - 14;11
39 - 10;29
28 - 14;14
21 - 13;8
41 - 24;17
48 - 31;17
48 - 33;15
33 - 18;15
30 - 13;17
47 - 18;29
50 - 20;30
21 - 17;4
50 - 42;8
22 - 21;1
43 - 27;16
47 - 31;16
14 - 10;4
38 - 13;25
22 - 18;4
43 - 40;3
15 - 10;5
46 - 18;28
49 - 26;23
46 - 19;27
34 - 19;15
25 - 11;14
47 - 15;32
28 - 15;13
49 - 15;34
31 - 14;17
50 - 47;3
28 - 18;10
46 - 41;5
40 - 15;25
50 - 41;9
25 - 15;10
42 - 38;4
39 - 29;10
38 - 33;5
47 - 41;6
42 - 36;6
27 - 22;5
48 - 25;23
41 - 23;18
49 - 41;8
40 - 24;16
47 - 46;1
39 - 31;8
23 - 20;3
26 - 19;7
41 - 33;8
22 - 20;2
49 - 17;32
26 - 19;7
45 - 26;19
49 - 43;6
37 - 35;2
35 - 21;14
50 - 20;30
26 - 20;6
40 - 34;6
21 - 12;9
34 - 29;5
42 - 13;29
48 - 41;7
34 - 27;7
33 - 19;14
31 - 11;20
14 - 11;3
41 - 28;13
36 - 26;10
17 - 14;3
49 - 12;37
34 - 32;2
33 - 11;22
45 - 27;18
37 - 25;12
48 - 18;30
40 - 22;18
50 - 35;15
31 - 26;5
48 - 24;24
32 - 27;5
28 - 19;9
49 - 38;11
49 - 11;38
21 - 11;10
40 - 13;27
35 - 15;20
33 - 18;15
33 - 13;20
34 - 26;8
42 - 14;28
50 - 45;5
34 - 16;18
40 - 31;9
30 - 12;18
40 - 19;21
44 - 40;4
30 - 19;11
24 - 24;0
24 - 11;13
36 - 23;13
43 - 19;24
25 - 18;7
45 - 37;8
47 - 32;15
