correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Alce;10;;;;"<img src=""http://nonsolopolpette.files.wordpress.com/2012/06/alce.jpg"" height=""300"">|";;;Cervo
Allodola;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/d/d8/Alauda_arvensis_2.jpg"" height=""300"">|";;;
Anatra;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/a/a1/Mallard2.jpg"" height=""300"">|";;;Oca
"Antilope cervicapra";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Male_Blackbuck.jpg/640px-Male_Blackbuck.jpg"" height=""300"">|";;;
Ape;10;;;;"<img src=""http://d35obg07bzmh9h.cloudfront.net/wp-content/uploads/2010/08/puntura-di-ape-bambini.jpg"" height=""300"">|";;;Vespa
"Aquila Marina dalla Testa Bianca";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/d/d4/Weisskopf_Seeadler_haliaeetus_leucocephalus_8_amk.jpg"" height=""300"">|";;;"Aquila Reale"
"Aquila Reale";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/e/eb/Steinadler_Aquila_chrysaetos_closeup2_Richard_Bartz.jpg"" height=""300"">|";;;"Aquila Marina Testa Bianca"
Asino;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/7/7b/Donkey_1_arp_750px.jpg"" height=""300"">|";;;Cavallo
Calandrella;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Alondra.jpg/640px-Alondra.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Calandrella_brachydactyla2.jpg/594px-Calandrella_brachydactyla2.jpg"" height=""300"">|";;;
Cane;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/it/b/b6/Ettore_cane_.jpg"" height=""300"">|";;;Lupo
Canguro;10;;;;"<img src=""https://wikiperbambini.wikispaces.com/file/view/canguro.jpg/423869328/388x458/canguro.jpg"" height=""300"">|";;;Wallaby
Castoro;10;;;;"<img src=""http://www.liceotorricelli.it/TorricelliWeb/premiati2010_file/Uomonatura/pagine%20web/images/castoro%201.jpg"" height=""300"">|";;;Suricato
Cavallo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/3/36/AngloKabardiner2.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Chevaux_au_moulin_du_Vanneau.JPG/640px-Chevaux_au_moulin_du_Vanneau.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Chalandry.JPG/640px-Chalandry.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bosal_bridle.JPG/512px-Bosal_bridle.JPG"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/%22Jasper%22_%286189276482%29.jpg/395px-%22Jasper%22_%286189276482%29.jpg"" height=""300"">|";;;Asino
Cervo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Red_deer_stag_2009_denmark.jpg/511px-Red_deer_stag_2009_denmark.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Cervus_elaphus_elaphus.jpg/450px-Cervus_elaphus_elaphus.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/c/ca/Bukhara_Deer_stag_at_Speyside_Wildlife_Park_-_geograph.org.uk_-_1002574.jpg"" height=""300"">|";;;Alce
Cinciallegra;10;;;;"<img src=""http://4.bp.blogspot.com/_ZpJw_QVOtZo/TU1BxaITl3I/AAAAAAAABeI/OO56s15s6CU/s1600/cinciallegra.jpg"" height=""300"">|";;;Pettirosso
"Cinghiale ";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Tiergarten_Worms_2011_Wildschwein.JPG/640px-Tiergarten_Worms_2011_Wildschwein.JPG"" height=""300"">|";;;
Cocinella;10;;;;"<img src=""http://www.marotochi.it/immagini/sfondi/coccinella%203.jpg"" height=""300"">|";;;
Cornacchia;10;;;;"<img src=""http://img.facileblog.it/6/2010/09/cornacchia-grigia-da-wikipedia.jpg"" height=""300"">|";;;Merlo|Corvo
Corvo;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/b/be/Corvus_corax_%28FWS%29.jpg"" height=""300"">|";;;Cornacchia|Merlo
Delfino;10;;;;"<img src=""http://www.divingwaterclub.it/images/foto_delfino.jpeg"" height=""300"">|";;;Orca
"Elefante Africano";10;;;;"<img src=""http://www.pethotels.it/blog/wp-content/uploads/2010/01/elefante.jpg"" height=""300"">|";;;"Elefanto Indiano"
"Elefante Indiano";10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/a/ac/IndianElephant.jpg"" height=""300"">|";;;"Elefante Africano"
Facocero;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Tarangire_Warzenschwein1.jpg/640px-Tarangire_Warzenschwein1.jpg"" height=""300"">|";;;
Foca;10;;;;"<img src=""http://abbeyvsaustralia.watermilk.com/wp-content/uploads/2010/12/harbour-seal-wikipedia.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/d/de/Seehund_fg01.jpg"" height=""300"">|<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Phoca_vitulina_he.jpg/640px-Phoca_vitulina_he.jpg"" height=""300"">|";;;Otaria|Pinguino
Giraffa;10;;;;"<img src=""http://static1.wikia.nocookie.net/__cb20121005120417/animali/it/images/f/f7/Giraffa.jpg"" height=""300"">|";;;
Gorilla;10;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/b/b1/Eyes_of_gorilla.jpg"" height=""300"">|";;;"Scimpanz&egrave;|Orango"
Granchio;10;;;;"<img src=""http://www.angolodellavventura.com/REGIONI/lombardia/crema/immaginidalmondo/ecuador/GALAPAGOS%20GRANCHIO.JPG"" height=""300"">|";;;
