correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Mercurio;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Mercury_Globe-MESSENGER_mosaic_centered_at_0degN-0degE.jpg/600px-Mercury_Globe-MESSENGER_mosaic_centered_at_0degN-0degE.jpg"" height=""300"">|";;;
Venere;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Venus_globe.jpg/600px-Venus_globe.jpg"" height=""300"">|";;;
Terra;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Earth_Eastern_Hemisphere.jpg/600px-Earth_Eastern_Hemisphere.jpg"" height=""300"">|";;;
Marte;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mars_Valles_Marineris_EDIT.jpg/600px-Mars_Valles_Marineris_EDIT.jpg"" height=""300"">|";;;
Giove;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Jupiter.jpg/600px-Jupiter.jpg"" height=""300"">|";;;
Saturno;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Saturn-cassini-March-27-2004.jpg/800px-Saturn-cassini-March-27-2004.jpg"" height=""300"">|";;;
Urano;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Uranus2.jpg/600px-Uranus2.jpg"" height=""300"">|";;;
Nettuno;;;;;"<img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Neptune.jpg/609px-Neptune.jpg"" height=""300"">|";;;
;;;;;;;;
;;;;;;;;
