question;correct_answer;wrong_answer
Qual è la più piccola costellazione del cielo?;Croce del Sud;Mosca|Bilancia|Lucertola|Leone Minore
Cosa diventerà  il sole fra circa 5 miliardi di anni?;Una gigante rossa;Una nana bianca|Un buco nero|Un pianeta|Una nana bruna
Quale stella ha il moto proprio piu elevato?;La Stella di Barnard;61 Cygni|Proxima Centauri|Wolf 359|Sirio|Ross 128
Qual è la seconda stella in ordine di luminosità ?;Canopo;Vega|Regolo|Spica|Arturo
A quanti anni-luce corrisponde un Parsec?;3.26;2.72|4.11|5.94|1.58
Cosa sono le Nubi di Magellano?;Galassie irregolari;Galassie a spirale|Nebulose|Nuvole altissime|Stelle
In quale fase deve essere la Luna affinché si verifichi un eclissi lunare?;Luna piena;Luna nuova|Primo quarto|Ultimo quarto|Due giorni dopo la Luna piena
Quale pianeta ruota più velocemente attorno al proprio asse?;Giove;Venere|Saturno|Nettuno|Urano
Da cosa si pensa essere prevalentemente composto l'Universo?;Energia oscura;Materia oscura|Gas interstellare|Stelle|Pianeti
In quale costellazione si trovano le Pleiadi?;Toro;Andromeda|Gemelli|Auriga|Orione
