correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"H ";1;;;;"Idrogeno ";;;
"He ";1;;;;"Elio ";;;
"Li ";1;;;;"Litio ";;;
"Be ";1;;;;"Berillio ";;;
"B ";1;;;;"Boro ";;;
"C ";1;;;;"Carbonio ";;;
"N ";1;;;;"Azoto ";;;
"O ";1;;;;"Ossigeno ";;;
"F ";1;;;;"Fluoro ";;;
"Ne ";1;;;;"Neon ";;;
"Na ";1;;;;"Sodio ";;;
"Mg ";1;;;;"Magnesio ";;;
"Al ";1;;;;"Alluminio ";;;
"Si ";1;;;;"Silicio ";;;
"P ";1;;;;"Fosforo ";;;
"S ";1;;;;"Zolfo ";;;
"Cl ";1;;;;"Cloro ";;;
"Ar ";1;;;;"Argon ";;;
"K ";1;;;;"Potassio ";;;
"Ca ";1;;;;"Calcio ";;;
"Sc ";2;;;;"Scandio ";;;
"Ti ";2;;;;"Titanio ";;;
"V ";2;;;;"Vanadio ";;;
"Cr ";2;;;;"Cromo ";;;
"Mn ";2;;;;"Manganese ";;;
"Fe ";2;;;;"Ferro ";;;
"Co ";2;;;;"Cobalto ";;;
"Ni ";2;;;;"Nichel ";;;
"Cu ";2;;;;"Rame ";;;
"Zn ";2;;;;"Zinco ";;;
"Ga ";2;;;;"Gallio ";;;
"Ge ";2;;;;"Germanio ";;;
"As ";2;;;;"Arsenico ";;;
"Se ";2;;;;"Selenio ";;;
"Br ";2;;;;"Bromo ";;;
"Kr ";2;;;;"Kripton ";;;
"Rb ";2;;;;"Rubidio ";;;
"Sr ";2;;;;"Stronzio ";;;
"Y ";2;;;;"Ittrio ";;;
"Zr ";2;;;;"Zirconio ";;;
"Nb ";2;;;;"Niobio ";;;
"Mo ";2;;;;"Molibdeno ";;;
"Tc ";2;;;;"Tecnezio ";;;
"Ru ";2;;;;"Rutenio ";;;
"Rh ";2;;;;"Rodio ";;;
"Pd ";2;;;;"Palladio ";;;
"Ag ";2;;;;"Argento ";;;
"Cd ";2;;;;"Cadmio ";;;
"In ";2;;;;"Indio ";;;
"Sn ";2;;;;"Stagno ";;;
"Sb ";2;;;;"Antimonio ";;;
"Te ";2;;;;"Tellurio ";;;
"I ";2;;;;"Iodio ";;;
"Xe ";2;;;;"Xeno ";;;
"Cs ";2;;;;"Cesio ";;;
"Ba ";2;;;;"Bario ";;;
"La ";2;;;;"Lantanio ";;;
"Ce ";2;;;;"Cerio ";;;
"Pr ";2;;;;"Praseodimio ";;;
"Nd ";2;;;;"Neodimio ";;;
"Pm ";2;;;;"Promezio ";;;
"Sm ";2;;;;"Samario ";;;
"Eu ";2;;;;"Europio ";;;
"Gd ";2;;;;"Gadolinio ";;;
"Tb ";2;;;;"Terbio ";;;
"Dy ";2;;;;"Disprosio ";;;
"Ho ";2;;;;"Olmio ";;;
"Er ";2;;;;"Erbio ";;;
"Tm ";2;;;;"Tulio ";;;
"Yb ";2;;;;"Itterbio ";;;
"Lu ";2;;;;"Lutezio ";;;
"Hf ";2;;;;"Afnio ";;;
"Ta ";2;;;;"Tantalio ";;;
"W ";2;;;;"Tungsteno ";;;
"Re ";2;;;;"Renio ";;;
"Os ";2;;;;"Osmio ";;;
"Ir ";2;;;;"Iridio ";;;
"Pt ";2;;;;"Platino ";;;
"Au ";2;;;;"Oro ";;;
"Hg ";2;;;;"Mercurio ";;;
"Tl ";7;;;;"Tallio ";;;
"Pb ";2;;;;"Piombo ";;;
"Bi ";7;;;;"Bismuto ";;;
"Po ";7;;;;"Polonio ";;;
"At ";7;;;;"Astato ";;;
"Rn ";7;;;;"Radon ";;;
"Fr ";7;;;;"Francio ";;;
"Ra ";7;;;;"Radio ";;;
"Ac ";7;;;;"Attinio ";;;
"Th ";7;;;;"Torio ";;;
"Pa ";7;;;;"Protoattinio ";;;
"U ";2;;;;"Uranio ";;;
"Np ";10;;;;"Nettunio ";;;
"Pu ";10;;;;"Plutonio ";;;
"Am ";10;;;;"Americio ";;;
"Cm ";10;;;;"Curio ";;;
"Bk ";10;;;;"Berkelio ";;;
"Cf ";10;;;;"Californio ";;;
"Es ";10;;;;"Einsteinio ";;;
"Fm ";10;;;;"Fermio ";;;
"Md ";10;;;;"Mendelevio ";;;
"No ";10;;;;"Nobelio ";;;
"Lr ";10;;;;"Laurenzio ";;;
"Rf ";10;;;;"Rutherfordio ";;;
"Db ";10;;;;"Dubnio ";;;
"Sg ";10;;;;"Seaborgio ";;;
"Bh ";10;;;;"Bohrio ";;;
"Hs ";10;;;;"Hassio ";;;
"Mt ";10;;;;"Meitnerio ";;;
"Ds ";10;;;;"Darmstadtio ";;;
"Rg ";10;;;;"Roentgenio ";;;
"Cn ";10;;;;"Copernicio ";;;
"Uut ";10;;;;"Ununtrio ";;;
"Fl ";10;;;;"Flerovio ";;;
"Uup ";10;;;;"Ununpentio ";;;
"Lv ";10;;;;"Livermorio ";;;
"Uus ";10;;;;"Ununseptio ";;;
"Uuo ";10;;;;"Ununoctio ";;;
