correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
è;10;;;"in questo caso la ‘è’ si usa per spiegare";"La mia amica Anna ___ simpatica";options_2;italiano;e
e;10;;;"in questo caso la ‘e’ unisce";"La mamma ___ il papà ridono felici.";options_2;italiano;è
e;10;;;"in questo caso la ‘e’ unisce";"Io mangio la pesca ___ il dolce. ";options_2;italiano;è
e;10;;;"in questo caso la ‘e’ unisce";"Marco ___ Carlo stanno giocando";options_2;italiano;è
è;10;;;"in questo caso la ‘è’ si usa per spiegare";"La luna ___ di colore bianco";options_2;italiano;e
è;10;;;"in questo caso la ‘è’ si usa per spiegare";"La pera ___ succosa e dolce";options_2;italiano;e
e;10;;;"in questo caso la ‘e’ unisce";"Paolo ___ Giacomo giocano in giardino";options_2;italiano;è
è;10;;;"in questo caso la ‘è’ si usa per spiegare";"La pesca __ dolce";options_2;italiano;e
a;10;;;;"___ mezzanotte finisce la festa";options_2;italiano;ha
a;10;;;;"La musica non piace ___ tutti";options_2;italiano;ha
a;10;;;;"oggi porto ___ Margherita i suoi giochi";options_2;italiano;ha
a;10;;;;"Vado ___ casa dopo la scuola";options_2;italiano;ha
ha;10;;;;"ogni persona ____ le amicizie che si merita";options_2;italiano;a
ha;10;;;;"Giacomo ____ detto che non gli piace il gelato";options_2;italiano;a
ha;10;;;;"Giulia ____ sette anni";options_2;italiano;a
ha;10;;;;"La maestra ____ letto un bel racconto in classe";options_2;italiano;a
;;;;;;;;
;;;;;;;;
