correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"Gran Bretagna";;;;;"In quale dei seguenti Paesi europei scorre il fiume Tamigi?";;;"Francia|Paesi Bassi|Romania"
Grecia;;;;;"La città di Sparta si trova in:";;;Bulgaria|Croazia|Lituania
Finlandia;;;;;"Quale Stato si affaccia sul Golfo di Botnia?";;;Alaska|Germania|Groenlandia
Svizzera;;;;;"In quale dei seguenti Paesi europei scorre il fiume Reno?";;;Norvegia|Polonia|Spagna
Portogallo;;;;;"In quale dei seguenti Paesi europei scorre il fiume Douro?";;;Croazia|Italia|Romania
Austria;;;;;"In quale dei seguenti Paesi europei scorre il fiume Danubio?";;;Grecia|Polonia|Svizzera
Spagna;;;;;"In quale dei seguenti Paesi europei scorre il fiume Tago?";;;"Belgio|Francia|Paesi Bassi"
Russia;;;;;"In quale dei seguenti Paesi europei scorre il fiume Dnepr?";;;Danimarca|Finlandia|Polonia
Germania;;;;;"In quale dei seguenti Paesi europei scorre il fiume Reno?";;;Austria|Belgio|Jugoslavia
Francia;;;;;"Quale Stato si affaccia sul Golfo del Leone?";;;"Gran Bretagna|Italia|Turchia"
Francia;;;;;"Quale dei seguenti Stati è attraversato dal fiume Reno?";;;"Gran Bretagna|Romania|Russia"
Lettonia;;;;;"Quale Stato si affaccia sul Golfo di Riga?";;;Canada|Messico|Russia
Russia;;;;;"Quale dei seguenti Stati europei è attraversato dal fiume Dvina?";;;Italia|Portogallo|Svizzera
Germania;;;;;"Con quale dei seguenti Paesi, tra gli altri, confina la Francia?";;;"Austria|Paesi Bassi|Repubblica Ceca"
Italia;;;;;"Con quale dei seguenti Paesi, tra gli altri, confina la Svizzera?";;;"Paesi Bassi|Slovenia|Spagna"
Spagna;;;;;"Con quale dei seguenti Paesi confina il Portogallo?";;;Francia|Grecia|Italia
Germania;;;;;"La città di Lipsia si trova in:";;;Austria|Olanda|Polonia
Turchia;;;;;"In quale Stato si trova la città di Istanbul?";;;Egitto|Finlandia|Francia
Irlanda;;;;;"In quale Stato si trova la città di Dublino?";;;Galles|Inghilterra|Scozia
Portogallo;;;;;"La città di Coimbra si trova in:";;;Francia|Lituania|Norvegia
Svizzera;;;;;"La città di Lucerna si trova in:";;;Belgio|Francia|Lettonia
Francia;;;;;"In quale dei seguenti Paesi europei scorre il fiume Rodano?";;;Polonia|Romania|Spagna
"Mar Mediterraneo";;;;;"Quale dei seguenti mari bagna Creta?";;;"Mar Caspio|Mar Nero|Mar Tirreno"
"Mar Baltico";;;;;"Quale dei seguenti mari bagna l'Estonia?";;;"Mar Caspio|Mar Egeo|Mar Nero"
"Mar Mediterraneo";;;;;"Quale dei seguenti mari bagna Malta?";;;"Mar di Marmara|Mar Morto|Mare Tirreno"
"Mare Adriatico";;;;;"Quale dei seguenti mari bagna l'Albania?";;;"Mar Caspio|Mar Egeo|Mare di Marmara"
"il Mar Mediterraneo con l'Oceano Atlantico";;;;;"Lo stretto di Gibilterra collega:";;;"il Mar Mediterraneo con il Mar Nero|il Mar Mediterraneo con il Mar Rosso|Il Mar Rosso con l'Oceano Indiano"
"Oceano Atlantico";;;;;"Quale dei seguenti mari/oceani bagna la Francia?";;;"Mar Caspio|Mar Nero|Mare di Barents"
"Mar Egeo";;;;;"Quale dei seguenti mari bagna l'isola di Lesbo?";;;"Mar Bianco|Mar Caspio|Mar Nero"
"Oceano Atlantico";;;;;"Quale dei seguenti mari bagna le isole Canarie?";;;"Mar Baltico|Mar Mediterraneo|Mare di Barents"
"Mar Mediterraneo";;;;;"Quale dei seguenti mari bagna l'isola di Pantelleria?";;;"Mar di Marmara|Mar Egeo|Mare Adriatico"
Russia;;;;;"Quale Stato si affaccia sul Golfo di Finlandia?";;;"Germania|Paesi Bassi|Polonia"
"Mare Adriatico";;;;;"Quale dei seguenti mari bagna la Croazia?";;;"Mar Caspio|Mar Egeo|Mar Tirreno"
Germania;;;;;"Quale dei seguenti Stati europei è attraversato dal fiume Elba?";;;Grecia|Italia|Lituania
Bratislava;;;;;"Quali delle seguenti città si trova nella Repubblica Slovacca?";;;Budapest|Lipsia|Praga
Danzica;;;;;"Quali delle seguenti città si trova in Polonia?";;;Amburgo|Lione|Monaco
Vaduz;;;;;"Quali delle seguenti città si trova in Liechtenstein?";;;Bruxelles|Dallas|Jerevan
"Mar Adriatico";;;;;"Quale dei seguenti mari bagna il Montenegro?";;;"Mar Egeo|Mare Arabico|Mare Ionio"
"Mar Adriatico";;;;;"Quale dei seguenti mari bagna la Slovenia?";;;"Mar Egeo|Mar Nero|Mare Ionio"
Irlanda;;;;;"Quale dei seguenti Paesi europei è bagnato dall'Oceano Atlantico?";;;Croazia|Grecia|Italia
Francia;;;;;"Quale dei seguenti Paesi europei è bagnato dall'Oceano Atlantico?";;;Bulgaria|Grecia|Italia
Russia;;;;;"In quale, tra i seguenti Stati, si trova il lago Ladoga?";;;"Arabia Saudita|Giappone|Perù"
