question;correct_answer;wrong_answer;"free_response ";difficult_level;tags
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Afghanistan_%28orthographic_projection%29.svg/500px-Afghanistan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Afghanistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Europe-Albania.svg/571px-Europe-Albania.svg.png"" height=""300"" />";"Albania ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Location_Algeria_AU_Africa.svg/517px-Location_Algeria_AU_Africa.svg.png"" height=""300"" />";"Algeria ";;;;Africa
"<img src=""https://upload.wikimedia.org/wikipedia/commons/1/12/Location_Andorra_Europe.png"" height=""300"" />";"Andorra ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Angola_%28orthographic_projection%29.svg/500px-Angola_%28orthographic_projection%29.svg.png"" height=""300"" />";"Angola ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/ATG_orthographic.svg/500px-ATG_orthographic.svg.png"" height=""300"" />";"Antigua e Barbuda";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Saudi_Arabia_%28orthographic_projection%29.svg/500px-Saudi_Arabia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Arabia Saudita ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Argentina_orthographic.svg/500px-Argentina_orthographic.svg.png"" height=""300"" />";"Argentina ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Armenia_%28orthographic_projection%29.svg/500px-Armenia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Armenia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/AUS_orthographic.svg/500px-AUS_orthographic.svg.png"" height=""300"" />";"Australia ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/EU-Austria.svg/500px-EU-Austria.svg.png"" height=""300"" />";"Austria ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Azerbaijan_with_Nagorno_Karabakh_region.svg/500px-Azerbaijan_with_Nagorno_Karabakh_region.svg.png"" height=""300"" />";"Azerbaigian ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/LocationBahamas.svg/500px-LocationBahamas.svg.png"" height=""300"" />";"Bahamas ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Map_of_Bahrain.svg/500px-Map_of_Bahrain.svg.png"" height=""300"" />";"Bahrein ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Bangladesh_%28orthographic_projection%29.svg/500px-Bangladesh_%28orthographic_projection%29.svg.png"" height=""300"" />";"Bangladesh ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/BRB_orthographic.svg/500px-BRB_orthographic.svg.png"" height=""300"" />";"Barbados ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/EU-Belgium.svg/500px-EU-Belgium.svg.png"" height=""300"" />";"Belgio ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/BLZ_orthographic.svg/500px-BLZ_orthographic.svg.png"" height=""300"" />";"Belize ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Location_Benin_AU_Africa.svg/500px-Location_Benin_AU_Africa.svg.png"" height=""300"" />";"Benin ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bhutan_%28orthographic_projection%29.svg/500px-Bhutan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Bhutan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Europe-Belarus.svg/500px-Europe-Belarus.svg.png"" height=""300"" />";"Bielorussia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Location_Burma_%28Myanmar%29_ASEAN.svg/500px-Location_Burma_%28Myanmar%29_ASEAN.svg.png"" height=""300"" />";Birmania|Myanmar;;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Bolivia_%28orthographic_projection%29.svg/500px-Bolivia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Bolivia ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Europe-Bosnia_and_Herzegovina.svg/500px-Europe-Bosnia_and_Herzegovina.svg.png"" height=""300"" />";"Bosnia ed Erzegovina|Bosnia and Herzegovina";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Location_Botswana_AU_Africa.svg/500px-Location_Botswana_AU_Africa.svg.png"" height=""300"" />";"Botswana ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/BRA_orthographic.svg/500px-BRA_orthographic.svg.png"" height=""300"" />";"Brasile ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Brunei_on_the_globe_%28Brunei_centered%29.svg/500px-Brunei_on_the_globe_%28Brunei_centered%29.svg.png"" height=""300"" />";"Brunei ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/EU-Bulgaria.svg/500px-EU-Bulgaria.svg.png"" height=""300"" />";"Bulgaria ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Location_Burkina_Faso_AU_Africa.svg/500px-Location_Burkina_Faso_AU_Africa.svg.png"" height=""300"" />";"Burkina Faso ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Burundi_%28orthographic_projection%29.svg/500px-Burundi_%28orthographic_projection%29.svg.png"" height=""300"" />";"Burundi ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Location_Cambodia_ASEAN.svg/500px-Location_Cambodia_ASEAN.svg.png"" height=""300"" />";"Cambogia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Cameroon_%28orthographic_projection%29.svg/500px-Cameroon_%28orthographic_projection%29.svg.png"" height=""300"" />";"Camerun ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Canada_%28orthographic_projection%29.svg/500px-Canada_%28orthographic_projection%29.svg.png"" height=""300"" />";"Canada ";;;;"Nord America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cape_Verde_%28orthographic_projection%29.svg/500px-Cape_Verde_%28orthographic_projection%29.svg.png"" height=""300"" />";"Capo Verde ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/ChadMap.svg/500px-ChadMap.svg.png"" height=""300"" />";"Ciad ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Chile_%28orthographic_projection%29.svg/500px-Chile_%28orthographic_projection%29.svg.png"" height=""300"" />";"Cile ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/78/People%27s_Republic_of_China_%28orthographic_projection%29.svg/500px-People%27s_Republic_of_China_%28orthographic_projection%29.svg.png"" height=""300"" />";"Cina ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/EU-Cyprus.svg/500px-EU-Cyprus.svg.png"" height=""300"" />";"Cipro ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/f/f7/Location_Vatican_City_Europe.png"" height=""300"" />";"Città del Vaticano ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/COL_orthographic_%28San_Andr%C3%A9s_and_Providencia_special%29.svg/500px-COL_orthographic_%28San_Andr%C3%A9s_and_Providencia_special%29.svg.png"" height=""300"" />";"Colombia ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Comoros_%28orthographic_projection%29.svg/500px-Comoros_%28orthographic_projection%29.svg.png"" height=""300"" />";"Comore ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/North_Korea_%28orthographic_projection%29.svg/500px-North_Korea_%28orthographic_projection%29.svg.png"" height=""300"" />";"Corea del Nord ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/South_Korea_%28orthographic_projection%29.svg/500px-South_Korea_%28orthographic_projection%29.svg.png"" height=""300"" />";"Corea del Sud ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Location_C%C3%B4te_d%27Ivoire_AU_Africa.svg/500px-Location_C%C3%B4te_d%27Ivoire_AU_Africa.svg.png"" height=""300"" />";"Costa d'Avorio ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Costa_Rica_%28orthographic_projection%29.svg/500px-Costa_Rica_%28orthographic_projection%29.svg.png"" height=""300"" />";"Costa Rica ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/EU-Croatia.svg/500px-EU-Croatia.svg.png"" height=""300"" />";"Croazia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Cuba_on_the_globe_%28Americas_centered%29.svg/500px-Cuba_on_the_globe_%28Americas_centered%29.svg.png"" height=""300"" />";"Cuba ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/EU-Denmark.svg/500px-EU-Denmark.svg.png"" height=""300"" />";"Danimarca ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/LocationDominica.svg/500px-LocationDominica.svg.png"" height=""300"" />";"Dominica ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Ecuador_%28orthographic_projection%29.svg/500px-Ecuador_%28orthographic_projection%29.svg.png"" height=""300"" />";"Ecuador ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Egypt_%28orthographic_projection%29.svg/500px-Egypt_%28orthographic_projection%29.svg.png"" height=""300"" />";"Egitto ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/LocationElSalvador.svg/500px-LocationElSalvador.svg.png"" height=""300"" />";"El Salvador ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/United_Arab_Emirates_%28orthographic_projection%29.svg/500px-United_Arab_Emirates_%28orthographic_projection%29.svg.png"" height=""300"" />";"Emirati Arabi Uniti ";;;;Asia
