correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"Locuzione latina di uso colloquiale: «Dal profondo del cuore (o dell'anima)».";;;;;"ab imo pectore";;;
"Che si allontana da ciò che è ritenuto giusto normale retto";;;;;aberrante;;;
"1 sf l'essere abietto
2 sf bassezza d'animo
3 sf condizione di avvilimento";;;;;abiezione;;;
"Sospensione apparente della vita";;;;;abiosi;;;
"erosione di un corpo ad opera del vento";;;;;ablazione;;;
"Lavaggio del coprp o di una parte di esso";;;;;abluzione;;;
"Avere in orrore, detestare";;;;;"abominare ";;;
"1) Avversione disprezzo 2) condizione di vergonga o disprezzo";;;;;"abominio ";;;
"Detto di due o più persone, litigare prendendosi reciprocamente per i capelli";;;;;accapigliarsi;;;
"(lett.) Affliggere, contristare: SIN. Addolorare.";;;;;accorare;;;
"1 (lett.) Mucchio di cose adunate insieme.
2 (filos.) , ragionamento costituito da una serie di sillogismi concatenati. SIN. Polisillogismo, sorite.";;;;;acervo;;;
"Acrimonia, astio";;;;;acredine;;;
"Acredine, asprezza livore";;;;;acrimonia;;;
"Componimento poetico che forma un nome od una parola determinata con le lettere iniziali dei versi lette una di seguito all'altra in senso verticale";;;;;acrostico;;;
"Detto di ogni libro espurgato secondo gli interessi di parte. Deriva da “Ad uso Delfino” cioè del primogenito del re di Francia i cui libri scolastici erano espurgati ed adattati. ";;;;;"ad usum delphini";;;
"Verso greco e latino di 5 sillabe";;;;;adonio;;;
"1) Recare onta, offendere 
2) Sdegnarsi";;;;;adontare;;;
"Odore sgradevole che emana l'uva in fermentazione, del sudore o altro";;;;;afrore;;;
"coppia di cordini per allacciare indumenti, dei quali uno forma un cappio e l'altro reca un bottone a botticella; è tipica di giacche e uniformi ufficiali";;;;;alamaro;;;
"(lett) Boria, vanità pomposa";;;;;albagia;;;
"1 lett. Bianco, candido
2 bot. Di fiore, foglia, frutto tendente al bianco";;;;;albo;;;
"1) Parte di una camera in cui si trovava il letto 2) Camera da letto, intesa come luogo di intimità amorosa";;;;;alcova;;;
"vintr
fare castelli in aria, fantasticare";;;;;almanaccare;;;
"1) cammino tortuoso 2) (spec. al plurale) Discorso involuto ambiguo confuso";;;;;ambage;;;
"1 (arch.) Deambulatorio.
2 (zool.) Ognuno dei cinque settori in cui è divisibile un echinoderma, dal quale sporgono i pedicelli ambulacrali.";;;;;ambulacro;;;
"1 chi si ritirava a vivere nel deserto per pregare e far penitenza
2 [in senso figurato] chi vive appartato, solo";;;;;anacoreta;;;
"1) Rapimento dell'anima nella contemplazione delle cose divine
2) Una delle quatro forme di interpretazione delle Sacre Scritture nella quale i fatti descritti vengono spiegati come simbolo delle realtà sovranaturali cui l'anima deve elevarsi ";;;;;anagogia;;;
"Tavola posta sull'altare dipinta o scoplita. Per estensione Nicchia o cornice in cui è posta tale tavola";;;;;ancona;;;
"1) Ermafrodito 2) che ha aspetto sessualmente ambiguo";;;;;androgino;;;
"ambiguo, incerto";;;;;anfibolo;;;
"il codice da cui derivano un altro o più altri codici";;;;;anitgrafo;;;
"Nell'antica Roma insieme delle derrate distribuite periodicamente al popolo / Complesso di norme per cui un governo provvede al fabbisogno della popolazione";;;;;annona;;;
"1 {medicina} che toglie il dolore, calmante
2 [in senso figurato] palliativo
3 [in senso figurato] debole, senza carattere";;;;;anodino;;;
"Relativo alle città marinare tedesche unite dal XII al XVIII secolo per la protezione dei loro interessi commerciali";;;;;anseatico;;;
"Difficoltà insolubile in cui si imbatte il ragionamento";;;;;aporia;;;
"1) Abiura della propria religione in favore di un'altra
2) estens. Abbandono, ripudio, di una dottrina o di un partito politico SIN rinnegamento";;;;;apostasia;;;
"detto di oggetti, atti, iscrizioni e formule orali, che per la loro particolare carica magica, sono ritenuti capaci di allontanare o distruggere gli influssi malefici provenienti da persone, cose, animali o avvenimenti.";;;;;apotropaico;;;
l'apporre;;;;;apposizione;;;
"Aperto e solatio; limpido, sereno, luminoso";;;;;aprico;;;
"Elemento di decorazione architettonica costituito da una fascia variamente lavorata che si svolge sulla fronte di un arco";;;;;archivolto;;;
"antico strumento astronomico costituito da un insieme di anelli, corrispondenti ai principali cerchi della sfera celeste, con il quale era possibile rappresentare il moto dei pianeti.";;;;;armillare;;;
"tecnica di divinazione per mezzo delle viscere degli animali";;;;;aruspicina;;;
"diminuzione della capacità al lavoro muscolare, senso di debolezza";;;;;astenia;;;
"senso di stanchezza agli occhi per sforzo di accomodazione o per eccesso di lavoro dei muscoli oculari.";;;;;astenopia;;;
"antico strumento usato dai marinai per determinare la posizione delle stelle,";;;;;astrolabio;;;
"1) Diminuzione di un volume di un organo 2) Sviluppo totalmente o parzialmente incompleto di un organo vegetale 3) ridotta funzionalità";;;;;atrofia;;;
" (1)  s. f.
1 Nella filosofia cinica, condizione di autosufficienza del saggio il quale raggiunge la felicità liberandosi dalle passioni che lo legano al mondo degli altri.
2 Autosufficienza economica tale che un Paese possa produrre all'interno tutto ciò di cui ha bisogno rinunciando agli scambi economici con l'estero.";;;;;autarchia;;;
"caso particolare di narratore omodigetico in cui il narratore è anche il protagonista";;;;;autodiegetico;;;
"Termine Buddistico per ignoranza";;;;;"avidya o avijjā";;;
"Stolto, sciocco.";;;;;babbio;;;
abbazia;;;;;badia;;;
"s. f. Antico strumento usato per misurare gli angoli.";;;;;balestriglia;;;
"s. m.
 Abbagliamento prodotto da luce intensa  Lampo improvviso di luce.";;;;;barbaglio;;;
"1) Obliquo, torvo 2) sinistro, minaccioso, turpe";;;;;bieco;;;
"irritabile, collerio";;;;;bilioso;;;
"s. m.
1 Ciuffo di cotone o di lana non ancora filati: lana in bioccoli.
2 (est.) Batuffolo di qualsiasi materiale soffice: bioccolo di schiuma, di neve  Colaticcio della candela.
3 (raro) Grumo, groppo.";;;;;bioccolo;;;
"Sm colore bruno di varia natura, usato in pittura e come cosmetico";;;;;bistro;;;
"Lusinga, adulazione, usato spec. al pl.: ";;;;;blandizia;;;
"Foschia, nebbia (anche fig.):";;;;;bruma;;;
"ghignazzata sonora e beffarda";;;;;cachinno;;;
"Chiasso, frastuono: ";;;;;cagnara;;;
"s. f.
1 Insenatura marina, molto piccola e poco profonda, in costa alta. SIN. Calanca.
2 Intaglio che si pratica alla base di un blocco di marmo per staccarlo dalla fronte della cava. SIN. Sottoscavo.";;;;;cala;;;
"stoppare e ricatramare le fessure del fasciame di un imbarcazione di legno per renderlo impermeabile";;;;;calafatare;;;
"1 Laccio, per prendere o tenere ferma la selvaggina.
2 (fig.) Agguato, insidia  Inganno.";;;;;calappio;;;
"1 (miner.) Varietà di quarzo microcristallino a struttura fibroso-raggiata. 2 Tipo di vetro più o meno venato fatto a imitazione di pietre dure.";;;;;calcedonio;;;
"varietà di quarzo microcristallino 2) tipo di vetro più o meno venato fatto ad imitazione di pietre dure ";;;;;calcedonio;;;
"detto di ciò che produce calore";;;;;calefaciente;;;
"1 La prima peluria degli uccelli e (est.) degli adolescenti.
2 Lanugine che riveste foglie e frutti.";;;;;calugine;;;
"albero delle teacee con foglie lucide e coriacee";;;;;camelia;;;
"v. intr. (io caracollo; aus. avere)
1 Nell'equitazione, volteggiare a destra e a sinistra, a piccoli salti, cambiando di mano (detto del cavallo o del cavaliere).
3 (fam.) Trotterellare: ";;;;;caracollare;;;
" Che appartiene all'ordine eremitico fondato nel XII sec. sul Monte Carmelo.
B s. m. (f. -a)  Religioso di tale ordine  Carmelitani scalzi, carmelitane scalze, della famiglia carmelitana riformata da S. Teresa d'Avila (1515-1582).";;;;;carmelitano;;;
"1) Motivo ornamentale raffigurante un rotolo di carta in parte svolto, spesso sorretto da una figura e contenente il più delle volte un'iscrizione sacra, dedicatoria, esplicativa  
2) Nelle iscrizioni egiziane, figura di forma ovale recante i nomi dei faraoni. ";;;;;cartiglio;;;
"1) Difeso da armatura pesante e completa 
2) protetto e ben difeso";;;;;catafratto;;;
"1) detto di composto spec di idrossido alcalino altamente corrosivo per i tessuti organici 
2) aspro e mordace";;;;;caustico;;;
"(lett. o tosc.) Scherzare, spec. con parole";;;;;celiare;;;
"1 †Chirurgo  Flebotomo, dentista.
2 (spreg.) Chirurgo da poco.";;;;;cerusico;;;
"(raro) Specie di birra (lett.) Birra.";;;;;cervogia;;;
"1) chiccericcio confuso 
2) sommesso canto di uccelli 
3) mormorio lieve di acque";;;;;ciangottio;;;
"(lett.) Di colore celeste pallido: ";;;;;cilestrino;;;
"Forzare qualcuno a operare contro la propria volontà";;;;;coartare;;;
"1 (lett.) Serpente.
2 Colubro di Esculapio, grande serpente dei Colubridi, inoffensivo, un tempo allevato nei santuari di Esculapio, dio della medicina (Elaphe longissima). SIN. Saettone.";;;;;colubro;;;
"agg.
 Pieno, denso di concetti: discorso concettoso  (est.) Involuto, ricercato, difficile da comprendere: stile concettoso.";;;;;concettoso;;;
"s. m.
1 Riunione o conversazione segreta o appartata, spec. per fini illeciti o misteriosi: un conciliabolo di congiurati.
2 (st.) Nell'Italia ai tempi di Roma, luogo di adunanza.";;;;;conciliabolo;;;
"Prendere fuoco all’improvviso, divampare";;;;;conflagrare;;;
"1) capo dell'antico coro greco 2) Capo, promotore di un partito, di una corrente culturale, artistica";;;;;corifeo;;;
"(miner.) o crisopazio: Varietà di calcedonio di color verde mela";;;;;crisoprasio;;;
"agg.
 (lett.) Che ha il colore giallo aranciato caratteristico dello zafferano:";;;;;croceo;;;
"s. f.
1 (lett.) Culla: nasce al bosco in rozza cuna / un felice pastorello (METASTASIO)  (est., fig.) Luogo natale:
2 (raro) Cunetta, canaletto.";;;;;cuna;;;
"piastra metallica d'argento o argentata che porta un immagine impressa alla luce e rivelata dall'azione dei sali di mercurio. Antenato della fotografia";;;;;dagherrotipo;;;
"Pieno di rispetto, di ossequio, di riguardo Chi è conforme o ci conforma per ossequio al giudizio, all'autorità, alla volontà altrui.";;;;;deferente;;;
"1) rimettere all'esame e al giudizio di altri. ";;;;;deferire;;;
"Accusa denuncia segreta, soffiata, spiata";;;;;delazione;;;
"1) anticamente benda avvolta attorno al capo di divinità sacerdotali 2) Ricco ornamento del capo in oro argento e pietre preziose";;;;;diadema;;;
"Sistema di governo caratterizzato dalla divisione del potere tra due persone od organi politici. Es i due re di Sparta, i due consoli romani";;;;;diarchia;;;
"roccia silicia ricca in calcedonio a colori molto vivaci usata come pietra dura";;;;;diaspro;;;
